Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
IND,India,2021,6.38,6.529999971,237.712,11400000000000.0,5.506064184,60.242,0.82264822,27.33527625
IND,India,2022,4.822,6.570000172,240.616,13100000000000.0,6.653102747,61.308,0.790200541,29.74852005
IND,India,2023,4.172,6.880000114,237.125,14800000000000.0,5.360549411,62.359,0.88328954,28.50548931
IND,India,2024,4.202,6.880000114,232.599,16200000000000.0,4.5,63.2,0.890706547,28.50548931
IRN,"Iran, Islamic Rep.",2015,11.166,10.21500015,733.211,1130000000000.0,11.91731342,46.458,1.361594788,34.47228594
IRN,"Iran, Islamic Rep.",2016,12.618,10.31000042,733.211,1220000000000.0,9.034607584,47.345,1.433485586,33.74286212
IRN,"Iran, Islamic Rep.",2017,12.232,10.41517492,666.861,1280000000000.0,9.65,48.142,1.438704421,33.84876926
IRN,"Iran, Islamic Rep.",2018,12.195,10.52142232,677.257,1280000000000.0,31.18285454,48.23,1.275246569,33.60848059
IRN,"Iran, Islamic Rep.",2019,10.74,10.62875357,632.614,1160000000000.0,41.23135107,47.897,1.078317209,33.38539225
IRN,"Iran, Islamic Rep.",2020,9.687,10.73717974,568.291,1240000000000.0,47.11198622,45.343,0.768757498,34.98574558
IRN,"Iran, Islamic Rep.",2021,9.282,10.84671198,552.986,1320000000000.0,46.23734349,45.027,0.831029237,35.6635225
IRN,"Iran, Islamic Rep.",2022,9.085,10.84671198,416.229,1470000000000.0,46.49049748,44.54,1.201002859,36.40154916
IRN,"Iran, Islamic Rep.",2023,9.041,10.84671198,599.067,1600000000000.0,52.27979747,44.359,1.204081856,36.50746043
IRN,"Iran, Islamic Rep.",2024,9.192,10.84671198,465.617,1690000000000.0,35.4,44.028,1.052869222,36.50746043
IRQ,Iraq,2015,10.842,6.597359595,439.598,351000000000.0,-0.503919373,49.615,2.727109769,30.34123727
IRQ,Iraq,2016,10.82,6.627529739,436.416,349000000000.0,0.458236193,50.169,2.391512274,31.10544022
IRQ,Iraq,2017,13.02,6.657699882,618.626,401000000000.0,0.184058899,49.036,2.230550464,29.92597135
IRQ,Iraq,2018,13.49,6.687870026,646.207,485000000000.0,0.383417206,48.691,2.332357697,29.64666238
IRQ,Iraq,2019,14.109,6.718455358,649.748,505000000000.0,-0.214848413,48.224,2.275011157,30.19657715
IRQ,Iraq,2020,15.778,6.749180566,653.342,445000000000.0,0.574162679,46.237,2.219386695,29.93116199
